#精通系统基础配置																																																																																																																																																																																																																																																															
"#注释:本段附加精通属性类型和本段附加精通属性值,必须成对出现,代表本段能力,凡是人物属性存在的属性类型,都允许成对列累加
#所需境界0~6
#武器类型与武器系统一致
#7:重兵/4:法器/1:双刃
#附:精通属性参考
#AAT_ALL_ATK   /   0   /   伤害提高
#AAT_ALL_DEF   /   1   /   防御提高
#AAT_PHY_ATK   /   2   /   物理伤害提高
#AAT_MAG_ATK   /   3   /   法术伤害提高
#AAT_PHY_DEF   /   4   /   物理防御提高
#AAT_MAG_DEF   /   5   /   法术防御提高
#AAT_ATK_RANG   /   6   /   攻击范围增加
#AAT_ATK_DIS   /   7   /   攻击距离增加
#AAT_ATK_SPEED   /   8   /   攻击速度增加
#AAT_WEAPON_SKILL   /   9   /  附加武器效果技能ID"																																																																																																																																																																																																																																																															
#武器类型	#初始是否解锁	#大段ID	#小段ID	#所需境界	#所需器魂数量	#是否解锁精通动作	#每秒升级多少点	#本段名称	#本段描述	#本段描述2	#帮助ID	#连击段数	#蓄力段数	#追击段数	#本段附加精通属性类型	#本段附加精通属性类型值	#本段附加精通属性类型	#本段附加精通属性类型值	#本段附加精通属性类型	#本段附加精通属性类型值	#本段附加精通属性类型	#本段附加精通属性类型值																																																																																																																																																																																																																																									
1	1	1	1	0	0	1	0	初学乍练	初次使用重兵克敌，动作生硬，只能施展一些简单的招式。	重兵	3000008	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
1	0	1	2	0	500	0	500	半生不熟	重兵招式多有生疏之处，但对付一些低阶修士不成问题。	重兵的伤害提高5%	3000009	4	2	-1	9	-1	-1	1	-1	-1	-1	-1																																																																																																																																																																																																																																									
1	0	2	1	2	1000	1	1000	得心应手	较为熟练的运用重兵攻击，招式不乏变化，偶有爆发之力。	重刃连击升级至Lv.2	3000010	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
1	0	2	2	2	1500	0	1500	工力悉敌	对重兵的领悟达到气力结合，心无旁骛，对敌之时多占上风。	重兵的伤害提高5%	3000011	5	2	-1	9	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
1	0	3	1	3	2250	1	2250	游刃有余	对重兵之技已了然于胸，招式变化多端，轻松制敌。	重刃连击升级至Lv.3	3000012	5	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
1	0	3	2	3	3000	0	3000	炉火纯青	对重兵的运用已臻至化境，出手招招致命，不留余地。	重兵的伤害提高5%	3000013	6	2	-1	9	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
1	0	4	1	4	4500	1	4500	天人合一	已经完整领悟了重兵的修为境界，出手有如天助，所向无敌。	重刃连击升级至Lv.4	3000014	6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
2	1	1	1	0	0	1	0	初学乍练	初次使用法器克敌，动作生硬，只能施展一些简单的招式。	法器	3000015	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
2	0	1	2	0	500	0	500	半生不熟	法器招式多有生疏之处，但对付一些低阶修士不成问题。	法器的伤害提高5%	3000016	4	2	-1	9	-1	-1	1	-1	-1	-1	-1																																																																																																																																																																																																																																									
2	0	2	1	2	1000	1	1000	得心应手	较为熟练的运用法器攻击，招式不乏变化，偶有爆发之力。	法器连击升级至Lv.2	3000017	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
2	0	2	2	2	1500	0	1500	工力悉敌	对法器的领悟达到气力结合，心无旁骛，对敌之时多占上风。	法器的伤害提高5%	3000018	5	2	-1	9	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
2	0	3	1	3	2250	1	2250	游刃有余	对法器之技已了然于胸，招式变化多端，轻松制敌。	法器连击升级至Lv.3	3000019	5	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
2	0	3	2	3	3000	0	3000	炉火纯青	对法器的运用已臻至化境，出手招招致命，不留余地。	法器的伤害提高5%	3000020	6	2	-1	9	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
2	0	4	1	4	4500	1	4500	天人合一	已经完整领悟了法器的修为境界，出手有如天助，所向无敌。	法器连击升级至Lv.4	3000021	6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
3	1	1	1	0	0	1	0	初学乍练	初次使用双刃克敌，动作生硬，只能施展一些简单的招式。	双刃	3000001	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
3	0	1	2	0	500	0	500	半生不熟	双刃招式多有生疏之处，但对付一些低阶修士不成问题。	双刃的伤害提高5%	3000002	4	2	-1	9	-1	-1	1	-1	-1	-1	-1																																																																																																																																																																																																																																									
3	0	2	1	2	1000	1	1000	得心应手	较为熟练的运用双刃攻击，招式不乏变化，偶有爆发之力。	双刃连击升级至Lv.2 	3000003	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
3	0	2	2	2	1500	0	1500	工力悉敌	对双刃的领悟达到气力结合，心无旁骛，对敌之时多占上风。	双刃的伤害提高5%	3000004	5	2	-1	9	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
3	0	3	1	3	2250	1	2250	游刃有余	对双刃之技已了然于胸，招式变化多端，轻松制敌。	双刃连击升级至Lv.3	3000005	5	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
3	0	3	2	3	3000	0	3000	炉火纯青	对双刃的运用已臻至化境，出手招招致命，不留余地。	双刃的伤害提高5%	3000006	6	2	-1	9	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
3	0	4	1	4	4500	1	4500	天人合一	已经完整领悟了双刃的修为境界，出手有如天助，所向无敌。	双刃连击升级至Lv.4 	3000007	6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1																																																																																																																																																																																																																																									
