####道具配置总表																																					
##游戏中所有物品,无论装备,丹药物品,均属道具,道具类别的定义均由本表提供基础数据.道具类型ID和道具子类型ID必须唯一.																																					
#																																					
#道具类型名称                     : 道具类型,如装备,丹药等等,同时这个名称将会被部分界面等地方引用. 																																					
#道具类型ID                       : 道具类型的ID编号.																																					
#道具子类型名称                   : 道具子类型名称,如重兵,飞剑等,同时这个名称将会被部分界面等地方引用.																																					
#道具子类型ID                     : 道具子类型的ID编号.																																					
#道具类目ID                       : 道具自所属类目下的编号,是用来区分同类型同子类下不同道具的ID																																					
#道具名称                         : 道具名称 																																					
#道具单位名称                     : 道具的单位名称 																																					
#道具描述                         : 道具文字描述																																					
#道具小图示资源路径               : 道具小型图示资源,如E,R键可能用到的小图示.																																					
#道具大图示资源路径               : 道具的展示图示资源.																																					
#道具属性个数                     : 这个道具将具有多少个自身的属性,这个属性值得是比如耐久度,使用限制,CD等等.																																					
#道具属性类型1                    : 属性的类型 																																					
#道具属性1                        : 属性的值																																					
#道具效果属性个数                 : 这个属性泛指所有角色所含属性,比如血,灵力之类.																																					
#道具效果属性类型1                : 属性类型																																					
#道具效果属性1                    : 属性值 																																					
#道具触发后需要执行的脚本模块数量 : 当这个道具被触发,将执行的动作 ,这个动作是																																					
#道具触发后执行的脚本模块1        : 道具被触发后执行的脚本模块ID																																					
#道具触发后执行的脚本模块数据1    : 道具被触发后执行的脚本模块数据																																					
MaxPropCount	5																																				
MaxBaseEffectCount	4																																				
MaxAddEffectCount	3																																				
MaxRunCount	1																																				
#道具类型名称	#道具类型ID	#道具子类型名称	#道具子类型ID	#道具类目ID	#道具名称	#道具单位名称	#道具描述	#道具出处描述	#道具小图示资源路径	#道具大图示资源路径	#道具资源路径	#道具属性类型1	#道具属性1	#道具属性类型2	#道具属性2	#道具属性类型3	#道具属性3	#道具属性类型4	#道具属性4	#道具属性类型5	#道具属性5	#道具效果属性类型1	#道具效果属性1	#道具效果属性类型2	#道具效果属性2	#道具效果属性类型3	#道具效果属性3	#道具效果属性类型4	#道具效果属性4	#道具附加属性类型1	#道具附加效果1	#道具附加属性类型2	#道具附加效果2	#道具附加属性类型3	#道具附加效果3	#道具触发后执行的脚本模块1	#道具触发后执行的脚本模块数据1
装备	1	重兵	1	1011000	金刚杵	把	初级法宝，正适合我这种刚入门未及接触仙术的低阶弟子。	由玄天陨铁经黄枫谷的地肺之火锻制而成，通体玄色，削铁如泥，正适合我这种刚入门未及接触仙术的低阶弟子。	GameLegend/Icon/Equipment/WeaponIcon_050	GameLegend/Illustration/equip_illu/equip_iliu_124	Prefabs/Player/Equip/zhongbing001	1	130	2	65	null	null	null	null	null	null	9	144	11	144	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1011001	宝相杵	把	佛门利器，经改造之后更为趁手。	比起落仙斩来说，此刃得黄枫谷天地灵气浸染，因而初具灵能，需得好好练习之后方可平稳操控它。	GameLegend/Icon/Equipment/WeaponIcon_050	GameLegend/Illustration/equip_illu/equip_iliu_124	Prefabs/Player/Equip/zhongbing014	1	150	2	75	null	null	null	null	null	null	9	173	11	173	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1012001	天罡圣戟	把	以天罡正气加持，一招“罡气溯冲”名冠天南，也算越国修仙界不俗的名器。	锻制时吸纳天地至阳之灵，其精刚之气猛烈非常，灌注灵力之后能使风云变色，绝对是一件防身利器。	GameLegend/Icon/Equipment/WeaponIcon_051	GameLegend/Illustration/equip_illu/equip_iliu_125	Prefabs/Player/Equip/zhongbing014	1	240	2	120	null	null	null	null	null	null	9	390	11	390	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1013001	开山斧	把	用罕见秘法所打造的长斧，不易操控但破坏力极强。	用罕见的火焰岩打制而成，斧刃保留了其原先的熔岩焦痕，击打处火光飞迸，破坏力之大绝不亚于法器威能。	GameLegend/Icon/Equipment/WeaponIcon_035	GameLegend/Illustration/equip_illu/equip_iliu_19	Prefabs/Player/Equip/zhongbing002	1	260	2	130	null	null	null	null	null	null	9	372	11	372	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1014001	淬岩斧	把	斧刃保留了冶炼时的熔岩焦痕，偶现赤网红纹，击打处火光飞迸，气势逼人。	汲取精绝火灵淬炼，战时火光四溅，仿佛心魂为止鸣响。我能得此神物，实乃大幸。	GameLegend/Icon/Equipment/WeaponIcon_035	GameLegend/Illustration/equip_illu/equip_iliu_19	Prefabs/Player/Equip/zhongbing002	1	298	2	149	null	null	null	null	null	null	9	433	11	433	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015001	天荒燎原	把	此斧锻就之时风云变色、狂雷乱击，通天之威令人不寒而栗。	费尽千辛万苦才找齐炼制此器的材料，锻就之时天怒雷击，中者皆成齑粉，确有逆命之威。	GameLegend/Icon/Equipment/WeaponIcon_036	GameLegend/Illustration/equip_illu/equip_iliu_20	Prefabs/Player/Equip/zhongbing007	1	500	2	250	null	null	null	null	null	null	9	1207	11	1207	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1016001	鬼牙杖	把	类似狼牙棒的带刺长杖，杀伤力非同一般。	以天罡正气加持刀身，刀风裹挟刚猛之力一击破敌，也算黄枫谷内不俗的名器。	GameLegend/Icon/Equipment/WeaponIcon_048	GameLegend/Illustration/equip_illu/equip_iliu_122	Prefabs/Player/Equip/zhongbing003	1	550	2	275	null	null	null	null	null	null	9	1494	11	1494	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1011101	万妖杖	把	自带邪毒的鬼头长杖，杖上布满密密麻麻的利齿，阴森骇人。	炼成之时，刀身上便现出“万谛一灭”四字。此乃天降神器，我断不可辜负天命之威，定要好好把握此刀。	GameLegend/Icon/Equipment/WeaponIcon_048	GameLegend/Illustration/equip_illu/equip_iliu_122	Prefabs/Player/Equip/zhongbing003	1	600	2	300	null	null	null	null	null	null	9	1590	11	1590	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1012101	钉魂杖	把	此鬼杖取义“钉魂刺魄”，中招者决不可活。	万谛灭意外升阶后竟得此神刀，其威力毁天灭地，手持此刀，我在低阶修士中已经难逢敌手。	GameLegend/Icon/Equipment/WeaponIcon_049	GameLegend/Illustration/equip_illu/equip_iliu_123	Prefabs/Player/Equip/zhongbing019	1	1010	2	505	null	null	null	null	null	null	9	3998	11	3998	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1013101	五行锤	把	结合了五行之力的木锤，以重击见长。	黄枫谷重兵榜上排名靠前的龙头杖，龙首不怒自威，眼中金光闪烁，见杖者无不为其威势折服。	GameLegend/Icon/Equipment/WeaponIcon_046	GameLegend/Illustration/equip_illu/equip_iliu_120	Prefabs/Player/Equip/zhongbing015	1	1100	2	550	null	null	null	null	null	null	9	5617	11	5617	null	null	null	null	null	null	null	null	null	null	null	null
