#任务基础信息配置文件																		
#触发类型:-1:不做任何操作;0:自动触发某任务,比如主线任务;1:完成后跳转到指定任务;																		
 #ID	#步骤	#掩码	#任务名	#任务剧情文字	#任务要求	#任务图片路径	#任务大图片路径	#完成NPC	#触发类型	#触发内容列数	#触发内容	#脚本ID	#数据ID	#任务目标个数	#目标类型	#任务完成提示	#目标数据	#达成目标次数
4101001	1	1	解闷	我携升仙令拜入黄枫谷也有三四天了，就一直被安置在这迎宾阁，反正关在此地也是气闷，不如趁此机会去后山转转。山间多妖精邪怪，还是带着武器，谨慎点好。	整天闷在迎宾阁里实属难受，不如带上武器去后山转转。	GameLegend/Story/small/101	GameLegend/Story/big/101	0	-1	1	0	-1	-1	1	6	null	123	5
4101101	2	1	舞仙坪其一	原来这里就是黄枫谷后山，好一个仙境之地！仙山风光果然如传闻般旖旎，不知深处又会有何等景致。	后山月色彷如仙境，往深处走肯定别有洞天。	GameLegend/Story/small/102	GameLegend/Story/big/102	0	-1	1	0	-1	-1	1	6	null	123	5
4101102	3	1	舞仙坪其二	黄枫谷后山仙气飘渺，如梦似幻，就连这潭边石像也别有、别有……嗯……别有蹊跷？这些石像和棋盘似有古怪，或许是某种机关禁制，待我上前查看一番。	已经无路可走了……这石像和棋盘似有玄机。	GameLegend/Story/small/103	GameLegend/Story/big/103	0	-1	1	0	-1	-1	1	6	null	123	5
4101104	4	1	舞仙坪其三	这石像果然不寻常！想不到此地不仅景色不俗，还有如此精妙的机关法门。既然禁制已经解开，不如就再去探探前方还有何奇景。	这石像果然玄妙，想必前方还有更妙之处。	GameLegend/Story/small/104	GameLegend/Story/big/104	0	-1	1	0	-1	-1	1	6	null	123	5
4101002	5	1	迎战陈师姐	没想到遇到个如此蛮不讲理之人，这陈师姐偷摘掌门的灵草还要栽赃嫁祸于我，既然她将事情做绝，就休怪我韩立得罪了！	这陈师姐竟想栽赃嫁祸，如此便只好得罪了！	GameLegend/Story/small/106	GameLegend/Story/big/106	0	-1	1	0	-1	-1	1	6	null	123	5
4101003	6	1	面见掌门	昨夜在后山招惹了那陈师姐，看来往后在黄枫谷的日子不会好过了……叶师叔想以他物换我入门所得的筑基丹，还答应让我任选谷内杂物，既然还有不小的好处，筑基丹只好日后再想办法，准备准备便去议事大殿拜见掌门。	一切准备妥当，该去议事大殿面见掌门了。	GameLegend/Story/small/107	GameLegend/Story/big/107	0	-1	1	0	-1	-1	1	6	null	123	5
4101004	7	1	离开议事大殿	得知我将筑基丹让给了叶师叔的侄孙，掌门大为赞赏。如此正式拜入黄枫谷，掌门命王凌霄师叔与我介绍黄枫谷相关事宜，他就在传功阁附近。	准备好了就去传功阁附近找王师叔，他会为我介绍黄枫谷相关事宜。	GameLegend/Story/small/108	GameLegend/Story/big/108	0	-1	1	0	-1	-1	1	6	null	123	5
4101005	8	1	前往百药园	王师叔为我介绍了黄枫谷大小事宜，并按照叶师叔的吩咐让我任意挑选谷内杂物。我一眼就看中了管理药园的杂物，看来有办法弄到筑基丹的配方了，即刻就去百药园拜见马韬马师伯。	我选中了药园管理的杂物，该去拜见百药园的管事马韬师伯了。	GameLegend/Story/small/109	GameLegend/Story/big/109	0	-1	1	0	-1	-1	1	6	null	123	5
4101006	9	1	炼制丹药	我一口气说出了十几种罕见的草药名，把马师伯惊得目瞪口呆,总算是放心把药园交给我了。马师伯教的炼丹之法并不算难，先炼三颗凝气丹给他看看。	先试着炼三颗凝气丹再向马师伯讨教。	GameLegend/Story/small/110	GameLegend/Story/big/110	0	-1	1	0	-1	-1	1	6	null	123	5
4101121	10	1	休息	马师伯所教丹方都已基本掌握，日后若能讨得马师伯欢心，说不定能打听到筑基丹的炼丹之法。主意已定，先在这药园小屋休息一会儿吧。	累了一天，先在这药园小屋休息一会儿吧……	GameLegend/Story/small/111	GameLegend/Story/big/111	0	-1	1	0	-1	-1	1	6	null	123	5
