#ID	#Prefab名	#头像路径	#名字	#阵营	#点击脚本类型	#脚本数据ID	#AI类型ID	#视野范围	#观望距离	#移动速度
2101901	2000	GameLegend/HeadPic/Another	凯瑟琳	2	0	7	-1	0	0	1
2101902	2001	GameLegend/HeadPic/Another	林长老	2	0	2	-1	0	0	1.5
2101903	2002	GameLegend/HeadPic/Another	蓝宫婉	2	0	1	-1	0	0	1.5
2101201	2006	GameLegend/HeadPic/Another	男酱油	2	-1	-1	-1	0	0	1.5
2101202	2006	GameLegend/HeadPic/Another	男酱油	2	-1	-1	-1	0	0	1.5
2101203	2006	GameLegend/HeadPic/Another	男酱油	2	-1	-1	-1	0	0	1.5
2101204	2005	GameLegend/HeadPic/Another	男酱油	2	-1	-1	-1	0	0	1.5
2101205	2005	GameLegend/HeadPic/Another	男酱油	2	-1	-1	-1	0	0	1.5
2101206	2005	GameLegend/HeadPic/Another	男酱油	2	-1	-1	-1	0	0	1.5
2101207	2020	GameLegend/HeadPic/Another	女酱油	2	-1	-1	-1	0	0	1.5
2101208	2021	GameLegend/HeadPic/Another	女酱油	2	-1	-1	-1	0	0	1.5
2101001	2006	GameLegend/HeadPic/Another	吴风	2	35	2101001	-1	0	0	1.5
2101002	2920	GameLegend/HeadPic/Another	王凌霄	2	-1	-1	-1	0	0	1.5
2101003	2007	GameLegend/HeadPic/Another	叶尘子	2	-1	-1	-1	0	0	1.5
2101004	2006	GameLegend/HeadPic/Another	丁覆捷	2	-1	-1	-1	0	0	1.5
2101005	2007	GameLegend/HeadPic/Another	郝思通	2	-1	-1	-1	0	0	1.5
2101006	2009	GameLegend/HeadPic/Another	钟灵道	2	-1	-1	-1	0	0	1.5
2101007	2005	GameLegend/HeadPic/Another	炼气期路人甲	2	-1	-1	-1	0	0	1.5
2101008	2920	GameLegend/HeadPic/Another	王凌霄	2	-1	-1	-1	0	0	1.5
2101009	2005	GameLegend/HeadPic/Another	守阴	2	-1	-1	42	80	80	1.5
2101010	2005	GameLegend/HeadPic/Another	守阳	2	-1	-1	42	80	80	1.5
2101301	2004	GameLegend/HeadPic/Another	东尼小木	2	28	10101	-1	0	0	1.5
2101302	2004	GameLegend/HeadPic/Another	硬道武具	2	28	10102	-1	0	0	1.5
2101303	2004	GameLegend/HeadPic/Another	葫芦娃之家	2	28	10103	-1	0	0	1.5
2101304	2004	GameLegend/HeadPic/Another	第二春	2	28	10104	-1	0	0	1.5
2101305	2005	GameLegend/HeadPic/Another	传送使	2	0	10101	-1	0	0	1.5
2101306	2004	GameLegend/HeadPic/Another	芥子空间商人	2	46	0	-1	0	0	1.5
2102001	2008	GameLegend/HeadPic/Matao	马韬	2	35	2102001	-1	0	0	1.5
2102002	2005	GameLegend/HeadPic/Another	百药园弟子	2	1	2102002	-1	0	0	1.5
2102003	2010	GameLegend/HeadPic/Lufengyang	陆风扬	2	-1	-1	-1	0	0	1.5
2102004	2999	GameLegend/HeadPic/Another	百药园书架	2	35	2102004	-1	0	0	1.5
2102005	2999	GameLegend/HeadPic/Another	百药园床	2	35	2102005	-1	0	0	1.5
2103001	2101	GameLegend/HeadPic/Lufengyang	陆风扬	2	-1	-1	-1	0	0	1.5
2104001	2011	GameLegend/HeadPic/Another	向之礼	2	10001	0	-1	0	0	1.5
2104002	2918	GameLegend/HeadPic/Another	牛韬	2	35	2104002	-1	0	0	1.5
2104003	2102	GameLegend/HeadPic/Matao	梦华鸟	2	-1	-1	-1	0	0	1.5
2104011	5994	GameLegend/HeadPic/Matao	罐子1	2	-1	-1	-1	0	0	1.5
2104012	5994	GameLegend/HeadPic/Matao	罐子2	2	-1	-1	-1	0	0	1.5
