#游戏场景数据配置															
#场景ID	#场景名称	#地图名称	#大地图路径	#大地图背景路径	#场景背景音乐	#主角出生点X坐标	#出生点Y坐标	#出生点Z坐标	#主角出生点Y轴朝向	#主角复活点X坐标	#复活点Y坐标	#复活点Z坐标	#主角复活点Y轴朝向	#多脚本调用	#场景中是否可以手动存档
0	TestUnit	测试地图	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4225	384.4413	1	325.1103	-90	384.4413	1	325.1103	-90	-1	0
1	map0001	血禁试炼	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	1000	53.91	210	43.38	0	53.91	210	43.38	0	-1	0
2	map0002	血禁试炼	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	1000	233	206	60	0	233	206	60	0	-1	0
3	map0003	血禁试炼	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	1000	329	120	62	0	329	120	62	0	-1	0
4	map0004	血禁试炼	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	1000	240	45	128	0	240	45	128	0	-1	0
5	map0005	血禁试炼	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	1000	285	52	229	0	285	52	229	0	-1	0
6	map0006	血禁试炼	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	1000	24	232	325	0	24	232	325	0	-1	0
99	Start	凡人修仙传	ZGUI/Main/AlphaTrans	ZGUI/Main/AlphaTrans	0	0	0	0	0	0	0	0	0	-1	0
999	End	游戏结束	ZGUI/Main/AlphaTrans	ZGUI/Main/AlphaTrans	0	0	0	0	0	0	0	0	0	-1	0
1000	Credits	结尾制作人	ZGUI/Main/AlphaTrans	ZGUI/Main/AlphaTrans	0	0	0	0	0	0	0	0	0	-1	0
100	Landing	登陆界面	EZGUI/Map/huangfenggu_Small	EZGUI/Map/huangfenggu	4231	999	999	999	999	156.055	108.22	241.3755	0	110100	0
101	map0010	黄枫谷	EZGUI/Map/huangfenggu_Small	EZGUI/Map/huangfenggu	4205	254.7882	108.103	324.0566	180	156.055	108.22	241.3755	0	110100	1
102	map0013	百药园	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4212	85.21481	9.998169	92.64735	90	82.2162	9.998169	92.81508	90	110200	1
103	map0011	后山	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4102	155.6339	88.06023	70.91536	0	155.6339	88.06023	70.91536	0	110300	0
104	map0014	谷中禁地	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4208	192.87	19.59388	29.7679	12.74648	159.8157	20.04872	22.81294	80.29329	110400	0
105	map0015	修习之阵	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4217	77.79476	20.83644	20.75091	-120	77.79476	20.83644	20.75091	-120	110500	0
106	map0012	太岳山脉	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4209	69.72032	230.2377	45.04417	100.3126	69.72032	230.2377	45.04417	100.3126	110600	0
107	map0025	弟子房	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4222	141.1378	20.87943	102.1852	180	141.1378	20.87943	102.1852	180	110700	1
108	map0026	岳麓殿	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4222	60.35453	18.29335	130.2329	76.2554	60.35453	18.29335	130.2329	76.2554	110800	1
109	map1012	太岳山脉空中战场	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4225	-4.88418	0	8.843156	0	-4.88418	0	8.843156	0	-1	0
110	map0037	弟子房	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4222	141.1378	20.87943	102.1852	180	141.1378	20.87943	102.1852	180	111000	1
