#脚本模板配置文件		
#模板编号	#对应类名	#脚本说明
0	NpcTalk_1	#NPC对话框模板1
1	NpcTalk_2	#NPC对话框模板2
2	TriggerMoudle	#触发器（待确认）
3	SM_AccMisDlg	#接受连接
4	SM_AcceptMission	#接收任务
5	SM_CompleteMission	#完成XXX
6	SM_MonsterDie	#怪物死亡调用
7	SM_GetItem	#获取物品
8	SM_LoseItem	#删除物品
9	SM_ComMisDlg	#完成任务调用对话
10	NpcText	#系统提示
11	SM_SpawnMonster	#刷怪
12	SM_SpawnMonster_ByInfo	#从刷新点刷怪
13	SM_CompleteMission_Role	#特殊完成任务
14	SM_AcceptMission_Role	#特殊任务接收
15	SM_SetRoleAtt	#生命回复
16	SM_AddBuff	#状态赋予
17	SM_EnableOperable	#改变机关的状态
18	SM_SetInvincible	#将某怪物设置为无敌
19	SM_SetUnInvincible	#解除怪物无敌状态
20	SM_SpawByAdminId	#刷新某个刷新区域所有怪物
21	SM_EnableSpawnAdmin	#激活某个刷新管理器
22	SM_ComMisForkDlg	#分支任务对话
23	SM_PlayMoive	#播放动画
24	SM_EnableGameObject	#激活场景里面的某个物件
25	SM_LearningSkill	#技能学习
26	SM_UpDateAttribute	#更新属性
27	SM_ExecScripts	#执行多个脚本
28	SM_OpenShopService	#打开道具商店服务
29	NpcTalk_3	#NPC对话框模板3
30	SM_AddKnownRole	#角色图鉴增加角色
31	SM_SwitchScene	#跳转场景
32	SM_SaveGame	#游戏存档
33	SM_ChapterUpdate	#章节更新
34	SM_UpdateProp	#添加道具
35	SM_ActionScript	#调用判断脚本
36	SM_AchievementProgress	#更新成就的进度
37	SM_UseSkill	#使用技能
38	SM_FanExecute	#镜像执行句柄
39	SM_FanExecuteAtPos	#含位置的镜像执行句柄
40	SM_FanKillHandle	#镜像手动结束
41	SM_ExStageGate	#执行关卡
42	SM_OpenEquipShopService	#打开装备商店
43	PopScript	#泡泡显示
44	SM_HelpEnable	#帮助
45	SM_UpdateMapName	#地图名称
46	SM_OpenMultiverseSpacePlane	#打开副本进入界面
47	SM_EnterDrillSystem	#进入神识系统(参数为0为强制进入,否则即为询问是否进入)
48	SM_ChangeMFS	#切换角色状态机（参数为怪物ID）
49	SM_CameraSet	#关闭一个对象和打开一个对象
50	SM_PlayFightCamera	#参数2个整型,第一个代表fightareaid,第二个为1则开启
51	SM_ExStage	#执行关卡
52	SM_LearnFigureSkill	#学习符录技能
53	SM_ExMixtureSmelt	#打开炼化界面
54	SM_LoadGame	#载入游戏
55	SM_SystemPlane	#激活ESC界面系统设置界面
56	SM_ShowMsgBox	#显示提示框
57	SM_ShowSaveMsgBox	#显示存档提示框
58	SM_Timer	#计时器
59	SM_CultureInfo	#文化项
60	SM_UpdateHp	#回血
61	SM_PlayerFootPrint	#脚印
62	SM_RotateNPC	#NPC旋转
63	SM_PlayBGMusic	#播放背景音乐
64	SM_RecoverMusic	#回复音乐
65	SM_PlayThemeMusic	#播放主题音乐
67	SM_SetLevel	#设置等级
68	SM_CreatEffect	#产生特效
69	SM_DeleteRole	#删除角色 
70	SM_DeleteEffect	#删除特效
71	SM_FanStopHandle	#停止镜像
72	SMOpenDialogText	#播放剧情字幕
73	SM_SwitchMouse	#控制鼠标显示开关
74	SM_DelatePlayerItem	#删除玩家物品（负值表示清空）
75	SM_AddMoney	#金钱加减
76	SM_RemoveMoney	#金钱加减
77	SM_TeachInfo	#基础提示
