#												
#id	#	#id	#x	#y	#z	#	#	#id	#X	##Y	##Z	#
1	11	1	23	208.5	90	0	Prefabs/Effect/chuansong	2	233	206	60	0
2	21	2	236	208	52	0	Prefabs/Effect/chuansong	1	25	208	80	0
3	22	2	83	211	78	0	Prefabs/Effect/chuansong	3	329	120	62	0
4	31	3	325	121	53	0	Prefabs/Effect/chuansong	2	78	210	72	0
5	71	202	85.67981	105.4098	173.3928	0	Prefabs/Effect/chuansong	203	272.5013	41.07992	94.53722	120
6	81	203	200.112	76.81253	149.3568	0	Prefabs/Effect/chuansong	204	384.4413	29.78777	325.1103	-90
7	-	101	151.5765	112.0218	238.2501	0	Prefabs/Effect/chuansong	104	192.87	19.59388	29.7679	12.74648
8	-	101	381.5766	134.0056	39.27504	185.1861	Prefabs/EffectB/Teleports/Jiantou_2	102	85.21481	9.998169	92.64735	90
9	-	102	82.43682	9.945761	92.75657	-88.6344	Prefabs/EffectB/Teleports/Jiantou_1	101	381.8223	132.9344	42.16608	0
10	-	101	74.74393	142.7719	123.3972	270	Prefabs/EffectB/Teleports/Jiantou_1	105	78.08844	24	21.0656	-120
11	-	105	-414.3648	21.29199	47.70007	0	Prefabs/Effect/chuansong	101	86.88906	141.0852	123.4628	90
12	-	101	396.2502	142.7143	237.5671	90	Prefabs/EffectB/Teleports/Jiantou_2	107	55.76809	15.72972	100.9467	0
13	-	107	56.51546	15.96623	96.82349	168.7772	Prefabs/EffectB/Teleports/Jiantou_1	101	389.3601	139.3934	238.3777	270
14	-	107	214.2964	20.775	136.4676	88.32307	Prefabs/EffectB/Teleports/Jiantou_1	103	155.6339	88.06023	70.91536	0
15	-	108	57.22472	18.29681	123.6247	190.3111	Prefabs/EffectB/Teleports/Jiantou_1	101	331.4234	130.6989	268.8196	0
16	-	101	331.4422	131.3993	271.1109	0	Prefabs/EffectB/Teleports/Jiantou_2	108	60.35453	18.29335	130.2329	76.2554
17	-	110	214.2964	20.775	136.4676	88.32307	Prefabs/EffectB/Teleports/Jiantou_1	103	155.6339	88.06023	70.91536	0
18	-	113	151.5765	112.0218	238.2501	0	Prefabs/Effect/chuansong	104	192.87	19.59388	29.7679	12.74648
10099		1	0	0	0	0	Prefabs/Effect/chuansong	100	0	0	0	0
10100		1	0	0	0	0	Prefabs/Effect/chuansong	113	231.6839	110.3227	237.3128	270
10101		1	0	0	0	0	Prefabs/Effect/chuansong	101	254.7882	108.103	324.0566	180
10102		1	0	0	0	0	Prefabs/Effect/chuansong	102	85.21481	9.998169	92.64735	90
10103		1	0	0	0	0	Prefabs/Effect/chuansong	103	155.6339	88.06023	70.91536	0
10104		1	0	0	0	0	Prefabs/Effect/chuansong	104	192.87	19.59388	29.7679	90
10105		1	0	0	0	0	Prefabs/Effect/chuansong	105	77.79476	20.83644	20.75091	-120
10106		1	0	0	0	0	Prefabs/Effect/chuansong	106	69.72032	230.2377	45.04417	100.3126
10109		1	0	0	0	0	Prefabs/Effect/chuansong	109	-4.88418	0	8.843156	0
10110		1	0	0	0	0	Prefabs/Effect/chuansong	110	173.8992	23.14888	135.3373	0
10111		1	0	0	0	0	Prefabs/Effect/chuansong	107	174.4109	-14.30613	129.987	180
10112		1	0	0	0	0	Prefabs/Effect/chuansong	111	69.72032	230.2377	45.04417	100.3126
10113		1	0	0	0	0	Prefabs/Effect/chuansong	113	254.7882	108.103	324.0566	180
10202		1	0	0	0	0	Prefabs/Effect/chuansong	202	286.5	80.53	45	0
10203		1	0	0	0	0	Prefabs/Effect/chuansong	203	272.5013	41.07992	94.53722	120
10204		1	0	0	0	0	Prefabs/Effect/chuansong	204	381.9447	29.85771	324.6582	-90
10304		1	0	0	0	0	Prefabs/Effect/chuansong	304	86.53252	100.4819	189.7866	58.27444
10305		1	0	0	0	0	Prefabs/Effect/chuansong	305	2.216186	0	-1.3617	90
10306		1	0	0	0	0	Prefabs/Effect/chuansong	306	-10.84215	23.12699	48.88592	90
10307		1	0	0	0	0	Prefabs/Effect/chuansong	307	0	0	0	180
10401		1	0	0	0	0	Prefabs/Effect/chuansong	401	250.1	0.2	249.9	45
10402		1	0	0	0	0	Prefabs/Effect/chuansong	402	254.5827	292.8	161.3977	-90
10403		1	0	0	0	0	Prefabs/Effect/chuansong	403	325.5233	292.7303	187.2213	-90
10404		1	0	0	0	0	Prefabs/Effect/chuansong	404	373	300	120	-16
10405		1	0	0	0	0	Prefabs/Effect/chuansong	405	427.8356	306.2356	325.7352	225
10406		1	0	0	0	0	Prefabs/Effect/chuansong	406	300	0	275	0
10407		1	0	0	0	0	Prefabs/Effect/chuansong	407	132.4464	350.8043	56.09002	0
10501		1	0	0	0	0	Prefabs/Effect/chuansong	501	0	-10	231.1343	180
10502		1	0	0	0	0	Prefabs/Effect/chuansong	502	361.9696	30	204.4371	270
10503		1	0	0	0	0	Prefabs/Effect/chuansong	503	382.4501	30.4	334.5189	180
10504		1	0	0	0	0	Prefabs/Effect/chuansong	504	382	30.4	356	180
10505		1	0	0	0	0	Prefabs/Effect/chuansong	505	110.3958	0.5	213.295	270
10506	1	1	0	0	0	0	Prefabs/Effect/chuansong	506	254.0165	108.103	321.7054	0
10507	2	1	0	0	0	0	Prefabs/Effect/chuansong	507	254.0165	108.103	321.7054	0
10601		1	0	0	0	0	Prefabs/Effect/chuansong	601	84.76231	100.5845	79.93583	90
10602		1	0	0	0	0	Prefabs/Effect/chuansong	602	94.09375	100.0499	17.68265	7.54393
10603		1	0	0	0	0	Prefabs/Effect/chuansong	603	132.4464	350.8043	56.09002	0
10604		1	0	0	0	0	Prefabs/Effect/chuansong	604	165.5243	0.75	147.3627	-90
10999		1	0	0	0	0	Prefabs/Effect/chuansong	999	0	0.25	0	0
11000		1	0	0	0	0	Prefabs/Effect/chuansong	1000	0	0.25	0	0
11100		1	0	0	0	0	Prefabs/Effect/chuansong	1100	0	0.25	0	0
11101		1	0	0	0	0	Prefabs/Effect/chuansong	1101	50.56323	89.40064	23.15573	-7.953796
11102		1	0	0	0	0	Prefabs/Effect/chuansong	1102	159.8309	20.08875	22.6924	90
11103		1	0	0	0	0	Prefabs/Effect/chuansong	1103	77.79476	20.83644	20.75091	-120
11104		1	0	0	0	0	Prefabs/Effect/chuansong	1104	69.72032	230.2377	45.04417	100.3126
4101001		1	0	0	0	0	Prefabs/Effect/chuansong	107	141.1378	20.87943	102.1852	0
4101031		1	0	0	0	0	Prefabs/Effect/chuansong	102	107.2707	-19.15855	166.6148	192.5613
4201002		1	0	0	0	0	Prefabs/Effect/chuansong	201	33.86307	18.49286	93.25439	32.86797
4201004		1	0	0	0	0	Prefabs/Effect/chuansong	201	33.39323	14.73936	132.3845	38.34544
4401001		1	0	0	0	0	Prefabs/Effect/chuansong	401	296.4869	0.6441195	379.9339	0
4307001		1	0	0	0	0	Prefabs/Effect/chuansong	307	0	0	0	180
4101004		1	0	0	0	0	Prefabs/Effect/chuansong	101	254.7882	108.103	324.0566	180
